Date	IPP	IPF	IPC	IPCD	IPCN	IPE	IPI	IPM	IPMD	IPMND	IPMFG	IPD	IPN	IPMIN	IPUT	IP	IPXMCA	PMI	PMP	GMPYQ	GMYXPQ	LHEL	LHELX	LHEM	LHNAG	LHUR	LHU680	LHU5	LHU14	LHU15	LHU26	LPNAG	LP	LPGD	LPMI	LPCC	LPEM	LPED	LPEN	LPSP	LPTU	LPT	LPFR	LPS	LPGOV	LPHRM	LPMOSA	PMEMP	GMCQ	GMCDQ	GMCNQ	GMCSQ	GMCANQ	HSFR	HSNE	HSMW	HSSOU	HSWST	HSBR	HMOB	PMNV	PMNO	PMDEL	MOCMQ	MSONDQ	FSNCOM	FSPCOM	FSPIN	FSPCAP	FSPUT	FSDXP	FSPXE	EXRSW	EXRJAN	EXRUK	EXRCAN	FYFF	FYGM3	FYGM6	FYGT1	FYGT5	FYGT10	FYAAAC	FYBAAC	SFYGM3	SFYGM6	SFYGT1	SFYGT5	SFYGT10	SFYAAAC	SFYBAAC	FM1	FM2	FM3	FM2DQ	FMFBA	FMRRA	FMRNBA	FCLNQ	FCLBMC	CCINRV	PMCP	PWFSA	PWFCSA	PWIMSA	PWCMSA	PSM99Q	PUNEW	PU83	PU84	PU85	PUC	PUCD	PUS	PUXF	PUXHS	PUXM	LEHCC	LEHM	HHSNTN
1959:01	0.013396992	0.008609752	0.007316259	0.005227654	0.009517142	0.0132842	0.018846549	0.031175802	0.045049989	0.017358977	0.018212754	0.020605539	0.015755249	0.006555765	0.00672848	0.019386249	81.443	66.9	70.3	0.005546388	0.005318367	0.060624622	-0.45255672	-0.0028851	-0.002263337	5.9	15.5	1554	1164	1277	545	0.003048318	0.003370108	0.003036263	-0.012040279	-0.007467788	0.005610797	0.008853968	0.001517556	0.003055794	0.000750094	0.004566635	0.000796178	0.004886471	0.00125329	40.2	2.6	62.5	0.0098441	0.044792065	0.003610058	0.005655396	0.068721832	7.4187809	5.8464388	6.1506028	6.2304814	5.8406417	7.3408356	4.7449321	55.5	70.5	67.3	0.068408445	0.1788753	-0.012894648	-0.01540025	-0.016492765	0.005916677	-0.005703221	3.32	19.43	0.000301432	0	0.001022114	0.007930419	2.4	2.7	3.12	3.54	3.96	3.96	4.14	4.89	0.3	0.72	1.14	1.56	1.56	1.74	2.49	0.003593249	0.003830755	0.003801629	0.003066455	0.004442806	0.001528709	0.006042315	-0.000187892	0.2	0.011221251	66.6	0.003016594	0	0.003262646	-0.006349228	0.006189953	-0.000344768	-0.002234638	0.003407158	0.004728141	0	0	0.004357305	0	0	0	0.003478264	0.004618946	95.8
1959:02	0.0060228	0.004916504	0	0.019405634	-0.004747249	0.010731414	0.013885375	0.025638933	0.038650015	0.014896498	0.015522447	0.022558048	0.002399781	0.002166549	0.00802139	0.014311008	82.477	67.1	71.2	0.007735798	0.008663714	0.057158414	-0.35382187	0.009112927	0.005734108	5.6	15.3	1459	1093	1210	530	0.005974357	0.006639492	0.009497029	0	0.007805911	0.010225471	0.015120711	0.003989824	0.00378363	0.002496257	0.005180652	0.003971411	0.004006301	0.002251971	40.4	2.8	62.3	0.009809584	0.003584198	0.014772966	0.006014861	0.038745619	7.3901814	5.7990927	6.0234476	6.2205902	5.9242558	7.3846104	4.8362819	58.4	70.2	66.3	0.016538885	0.12492322	0.02462597	0.024884082	0.024721882	0.038682509	0.030418026	3.25	19.95	0.002176884	0	0.001198851	-0.005142457	2.8	2.8	3.13	3.61	3.99	3.99	4.13	4.85	0	0.33	0.81	1.19	1.19	1.33	2.05	0.002149768	0.00520022	0.005160858	0.004842264	0.000246245	-0.004322384	-0.013456092	0.007883577	2.8	0.009927595	68.9	0	-0.002998503	0	0.003179653	0.018343234	-0.001035018	0	0.006779687	0.004705891	-0.003007521	0.005235614	0	0	0	0	-0.003478264	0.009174376	96.4
1959:03	0.014342738	0.014547535	0.015653159	0.006396823	0.016505699	0.025817364	0.015959619	0.027254131	0.029650367	0.030514736	0.021111467	0.028919064	0.011913275	0.028925307	0.006662683	0.02108968	83.992	66.9	72.1	0.006575518	0.007123753	0.054067221	-0.23698896	0.007765374	0.004852519	5.2	14.9	1494	934	1039	408	0.004697457	0.005222408	0.009846505	0	0.02668604	0.007257492	0.011722214	0.001509227	0.001472664	0.002987306	-0.002723313	0.004350412	0.005837562	0.001748034	40.5	2.8	63.6	-0.003300278	0.014508409	-0.016122279	0.005768244	0.009144998	7.3714893	5.6167711	5.9687076	6.2841342	5.9610053	7.3388881	4.7273878	63.4	66.9	64.8	-0.018540826	-0.095393886	0.017179147	0.016777435	0.018723105	0.0069484	0.001330672	3.26	20.1	-4.62674E-05	0	0.001357199	-0.006413594	2.96	2.95	3.27	3.72	4.12	4.12	4.23	4.86	-0.01	0.31	0.76	1.16	1.16	1.27	1.9	0	0.003107201	0.003083778	0.00126258	0.001943205	0.003153582	-0.005548661	0.007540702	3.3	0.009071328	63.6	0	0.002998503	0	0.006329135	0.009836665	0.000345125	0.002234638	0.003372685	0	0	0	0.004338402	0.003454235	0	0	0.006944472	0.004555817	96.9
1959:04	0.00828675	0.009562755	0.004755444	0.020121006	0	0.031893735	0.005638694	0.025433102	0.034050126	0.008915741	0.013840346	0.021438251	0.003532264	0.021934364	0.014439639	0.014927891	84.916	68.2	73.9	0.00702489	0.00788855	0	-0.21072103	-0.001065909	0.000543377	5.1	14.7	1479	1005	965	390	0.005443263	0.006275154	0.005832621	0.008042939	-0.000329218	0.006849138	0.010014314	0.002738227	0.005198312	0.002978409	0.011118759	0.002364999	0.003259871	0.000748223	40.6	2.9	64.8	0.011895736	0.002261563	0.019103128	0.006686857	-0.011961901	7.3118862	5.5606816	5.8721178	6.1882641	5.9814142	7.3218497	4.7874917	63.8	69.9	63	-0.028313586	0.04633165	0.015599926	0.014949001	0.019023417	0.042713924	-0.01834093	3.21	20.09	4.62674E-05	0	-0.000706793	-0.000622859	2.9	2.84	3.32	3.96	4.35	4.31	4.37	4.96	-0.06	0.42	1.06	1.45	1.41	1.47	2.06	0.007132698	0.007212808	0.007158715	0.006805263	0.000908812	-0.005231364	-0.01031782	0.016020665	5.8	0.010718478	65.1	0.003007521	-0.002998503	0.006493529	-0.006329135	0.010990847	0.002068253	0.002229655	0	0.004683849	0.003007521	0.002607563	0.004319661	0.003442344	0	0	0.006896579	0	97.5
1959:05	0.007036611	0.007141339	-0.004755444	0.007458365	-0.007033631	0.023250403	0.003368018	-0.006587149	-0.007362857	-0.003005333	0.001127901	0.008871108	-0.00473151	-0.019820707	0.010354887	0.001164097	84.769	64.4	66.3	0.003494026	0.003428143	0.051293294	-0.14502577	0.002315745	0.003896857	5	14.9	1522	963	963	415	0.00302787	0.003847216	0.006232356	0.006653385	0.003287314	0.006743593	0.008356013	0.004637848	0.00100596	0	0.0017963	0.003144657	0.002543811	-0.001621858	40.5	2.9	62.2	0.003983975	0.010604168	0.001020104	0.00527497	-0.006774992	7.3152184	5.5373343	5.8377304	6.2499752	5.9610053	7.3065314	4.8121844	65.6	64.2	63.7	0.002423284	0.024488893	-0.008744995	-0.008664064	-0.00549097	0.010895527	-0.039600018	3.23	18.97	-0.002640663	0	-0.000710848	-0.004162337	3.39	3.21	3.52	4.07	4.5	4.34	4.46	5.04	-0.18	0.13	0.68	1.11	0.95	1.07	1.65	0.003547361	0.006481346	0.006433068	0.003752626	0.000466366	-0.007807575	-0.026917146	0.012953549	5.6	0.013015047	69.5	-0.003007521	0.002998503	0	-0.006369448	0.009016072	0.002407568	0.002224695	0.003361348	0.004662013	0	0	0	0.003430535	0.003252035	0.003372685	0.003430535	0.004535155	97.2
1959:06	0.001153906	0.008234277	0.013062217	0.019610667	0.0082091	0.002193843	-0.013540671	-0.061158362	-0.10549086	0.004741143	-0.01843639	-0.049901281	0.017642936	-0.047466723	0.005168948	-0.024236142	82.98	61.5	64.8	-0.001581718	-0.001857873	0.048790164	-0.12443008	0.002494996	0.005228373	5.1	14.3	1591	1047	889	394	0.001473235	0.001162243	0.001491927	0.017094433	-0.005264902	0.002002474	0.001870519	0.002175096	0.00146141	0	0.000807284	0.003134799	0.000705467	0.00324109	40.2	2.8	59	-0.003016921	-0.010652233	-0.007078346	0.004304112	0.041022591	7.3440729	5.6021188	5.9162021	6.2785214	5.9188939	7.2806972	4.8675345	62	61.3	59.1	-0.026399783	0.011853633	0.038920383	0.038912759	0.039376416	0.034501697	0.037566348	3.11	19.72	-0.000440789	0	-0.00031649	-0.001774253	3.44	3.2	3.82	4.39	4.58	4.4	4.47	5.08	-0.24	0.38	0.95	1.14	0.96	1.03	1.64	0.003534822	0.003733247	0.003705579	0.001614442	0.003576419	0.012409018	0.010400767	-0.002613364	-0.2	0.013101888	63.9	-0.003016594	-0.002998503	-0.003241494	-0.009630893	-0.004031638	0.001373155	0.002219757	0.003350087	0	0	0.002600782	0.004301082	0	0.003241494	0.003361348	0.003418807	0	96.9
1959:07	-0.007028467	-0.00234574	0.001162626	-0.028306656	0.01160822	-0.008764918	-0.032326698	-0.078981671	-0.12852537	-0.003696161	-0.040404985	-0.067324488	-0.002332608	-0.054497826	-0.010332988	-0.03448958	79.468	55.1	57.4	-0.005308827	-0.005360693	-0.048790164	-0.19116051	-0.002572101	-0.000757263	5.2	13.7	1607	1113	889	407	-0.008289486	-0.010132692	-0.025177245	-0.089978914	0.00032987	-0.026954524	-0.05024471	0.002712234	0.002248831	-0.007462721	0.006078503	0.001173021	0.002254157	0.002113509	40.3	2.8	53.6	0.006264579	0.023486007	0.002902645	0.004391021	0.046655774	7.2654297	5.4380793	5.8579332	6.1612073	5.9295891	7.2896105	4.7004804	50.9	54.4	57.4	-0.048760116	-0.081477839	-0.004704415	-0.005707586	-0.007658082	-0.01620251	0.021039272	3.14	19.09	0.001159555	0	-0.000764968	-0.002824417	3.5	3.38	3.87	4.42	4.57	4.43	4.43	5.09	-0.12	0.37	0.92	1.07	0.93	0.93	1.59	0.001410438	0.004056801	0.003691899	0.002709334	0.002344667	0.005296955	0.002853631	0.012885198	5.2	0.012934331	57.6	-0.003025721	-0.006024115	0	-0.00972455	0.004959713	0.00102863	0.00221484	0	0.00464038	0	-0.002600782	0.004282662	0.003418807	0	0	0.003407158	-0.013667639	96.7
1959:08	-0.00471324	-0.00352896	-0.003543764	-0.030407133	0.005765748	-0.007767645	-0.002376888	-0.001272924	-0.003973048	0.0013284	-0.002424765	-0.00873111	0.003510894	-0.005862334	0.015444079	-0.001205823	79.049	48.3	50.9	0.00071313	-0.000116857	0.024692613	-0.216913	-0.001141852	-0.001330807	5.5	13.7	1602	1275	895	449	0.000694986	-0.00042074	-0.001480604	-0.024549969	-0.009610679	0.000966651	0.000218317	0.001894196	0.002031751	-0.000749344	-0.001962534	0.002731709	0.004072753	0.006930721	40.1	2.7	48	0.009859837	0.023754306	0.01040674	0.004406308	0.004142966	7.3395377	5.4889377	5.8916442	6.3279368	5.9295891	7.252054	4.804021	42.3	43.7	57.5	-0.004872263	0.085876425	-0.037148043	-0.04036615	-0.040501734	-0.039274663	-0.035162514	3.26	17.1	0.002430697	0.000722282	-0.002066558	-0.003042546	3.76	4.04	4.7	5	4.9	4.68	4.52	5.18	0.28	0.94	1.24	1.14	0.92	0.76	1.42	-0.006362694	0.001011634	0.00100452	-0.001463593	0.001024066	-0.003588091	0.002453507	0.003679556	2.3	0.012091352	61.6	0.012048339	0.014992785	0	0.006493529	0.007393749	0.002396031	0.002209946	0.003338901	0.004618946	0.005988042	0.002600782	0.004264399	0	0.003231021	0.003350087	0.006779687	0.009132484	96.4
1959:09	-0.002364977	-0.004724736	-0.004727282	0.022883382	-0.012709725	-0.007788357	-0.001176873	-0.010182296	-0.01620319	-0.018824536	-0.008548775	-0.006292955	-0.011703956	0.005862334	-0.002567958	-0.007294567	78.154	49.7	50.4	0.001479493	0.001401378	-0.024692613	-0.27707189	0.002174568	0.003919957	5.7	12.9	1750	1292	883	436	-0.001146046	-0.001773483	-0.005795395	0.007283353	-0.00936775	-0.0056925	-0.005472269	-0.005965311	0.001695018	-0.006015056	0.001962534	0.002724267	0.004474906	0.002340623	40.1	2.7	47.3	-0.00647235	-0.059572954	-0.000884742	0.004870375	-0.11248783	7.2115567	5.5373343	5.7203118	6.0935698	5.8664681	7.2137683	4.8121844	39.1	50	58.5	-0.002659827	-0.038370298	-0.000326318	-0.000876808	-0.002781188	0.00140176	0.011858748	3.26	17.04	0.003185672	0.000360946	0.000912663	-0.00410635	3.98	4.05	4.53	4.8	4.72	4.53	4.57	5.28	0.07	0.55	0.82	0.74	0.55	0.59	1.3	-0.003552402	-0.000674309	-0.00100452	-0.003153998	-0.003197581	-0.006400743	-0.005110074	0.00626239	3.2	0.012627702	63.1	-0.009022618	-0.011976191	0	-0.006493529	0.004593485	0.003412973	0	0.00332779	0	0	0	0.004246291	0.003407158	0	0	0.006734032	-0.004555817	96.1
1959:10	-0.010697743	-0.016743981	-0.021606957	-0.13154917	0.013840067	-0.01580182	0.016378447	0.038884577	0.064465256	0.001673425	0.007349568	0.012546557	0.001162412	0.064384056	0.008928073	0.006087289	78.505	50.6	51.9	0.007799543	0.006919638	0	-0.29975465	-0.005886869	-0.008532504	5.8	13.1	1745	1205	982	505	0.005866659	0.006039107	0.010328986	0.046783868	0.001007895	0.010451689	0.015463664	0.004206533	0.003140289	0.004014055	0.001424882	0.001941371	0.003760188	0.004909793	39.8	2.4	48.8	-0.000539071	-0.004487024	-0.004412525	0.005188209	-0.13987453	7.2555913	5.5053315	5.7868974	6.2146081	5.8406417	7.1685799	4.8121844	43.4	51.1	54.6	-0.022520891	-0.067477995	0.002607563	0.004026969	0.00685717	0.005896976	-0.009109605	3.24	17.15	0.000368698	0	-0.001276534	0.002739439	4	4.15	4.54	4.81	4.75	4.53	4.56	5.26	0.15	0.54	0.81	0.75	0.53	0.56	1.26	-0.000711997	0.002021564	0.002008033	0.001248119	-0.001982258	-0.000452305	0.004325606	0.004457263	1.9	0.00785818	65.1	-0.003025721	-0.003016594	0.003241494	-0.006535971	-0.003059978	0	0	0	0.004597709	0	0	0	0	0	0	0.003350087	0.004555817	95.8
