"fred","description"
"RPI","Real Personal Income"
"W875RX1","Real personal income ex transfer receipts"
"DPCERA3M086SBEA","Real personal consumption expenditures"
"CMRMTSPLx","Real Manu. and Trade Industries Sales"
"RETAILx","Retail and Food Services Sales"
"IPFPNSS","IP: Final Products and Nonindustrial Supplies"
"IPFINAL","IP: Final Products (Market Group)"
"IPCONGD","IP: Consumer Goods"
"IPDCONGD","IP: Durable Consumer Goods"
"IPNCONGD","IP: Nondurable Consumer Goods"
"IPBUSEQ","IP: Business Equipment"
"IPMAT","IP: Materials"
"IPDMAT","IP: Durable Materials"
"IPNMAT","IP: Nondurable Materials"
"IPMANSICS","IP: Manufacturing (SIC)"
"IPB51222s","IP: Residential Utilities"
"IPFUELS","IP: Fuels"
"CUMFNS","Capacity Utilization: Manufacturing"
"HWI","Help-Wanted Index for United States"
"HWIURATIO","Ratio of Help Wanted/No. Unemployed"
"CLF16OV","Civilian Labor Force"
"CE16OV","Civilian Employment"
"UNRATE","Civilian Unemployment Rate"
"UEMPMEAN","Average Duration of Unemployment (Weeks)"
"UEMPLT5","Civilians Unemployed - Less Than 5 Weeks"
"UEMP5TO14","Civilians Unemployed for 5-14 Weeks"
"UEMP15OV","Civilians Unemployed - 15 Weeks & Over"
"UEMP15T26","Civilians Unemployed for 15-26 Weeks"
"UEMP27OV","Civilians Unemployed for 27 Weeks and Over"
"CLAIMSx","Initial Claims"
"USGOOD","All Employees: Goods-Producing Industries"
"CES1021000001","All Employees: Mining and Logging: Mining"
"USCONS","All Employees: Construction"
"MANEMP","All Employees: Manufacturing"
"DMANEMP","All Employees: Durable goods"
"NDMANEMP","All Employees: Nondurable goods"
"SRVPRD","All Employees: Service-Providing Industries"
"USTPU","All Employees: Trade, Transportation & Utilities"
"USWTRADE","All Employees: Wholesale Trade"
"USTRADE","All Employees: Retail Trade"
"USFIRE","All Employees: Financial Activities"
"USGOVT","All Employees: Government"
"CES0600000007","Avg Weekly Hours : Goods-Producing"
"AWOTMAN","Avg Weekly Overtime Hours : Manufacturing"
"AWHMAN","Avg Weekly Hours : Manufacturing"
"HOUSTNE","Housing Starts, Northeast"
"HOUSTMW","Housing Starts, Midwest"
"HOUSTS","Housing Starts, South"
"HOUSTW","Housing Starts, West"
"PERMIT","New Private Housing Permits (SAAR)"
"PERMITNE","New Private Housing Permits, Northeast (SAAR)"
"PERMITMW","New Private Housing Permits, Midwest (SAAR)"
"PERMITS","New Private Housing Permits, South (SAAR)"
"PERMITW","New Private Housing Permits, West (SAAR)"
"AMDMNOx","New Orders for Durable Goods"
"AMDMUOx","Un lled Orders for Durable Goods"
"BUSINVx","Total Business Inventories"
"ISRATIOx","Total Business: Inventories to Sales Ratio"
"M1SL","M1 Money Stock"
"M2SL","M2 Money Stock"
"M2REAL","Real M2 Money Stock"
"TOTRESNS","Total Reserves of Depository Institutions"
"NONBORRES","Reserves Of Depository Institutions"
"BUSLOANS","Commercial and Industrial Loans"
"REALLN","Real Estate Loans at All Commercial Banks"
"NONREVSL","Total Nonrevolving Credit"
"CONSPI","Nonrevolving consumer credit to Personal Income"
"S&P 500","S&P s Common Stock Price Index: Composite"
"S&P: indust","S&P s Common Stock Price Index: Industrials"
"S&P div yield","S&P s Composite Common Stock: Dividend Yield"
"S&P PE ratio","S&P s Composite Common Stock: Price-Earnings Ratio"
"FEDFUNDS","E?ective Federal Funds Rate"
"CP3Mx","3-Month AA Financial Commercial Paper Rate"
"TB3MS","3-Month Treasury Bill:"
"TB6MS","6-Month Treasury Bill:"
"GS1","1-Year Treasury Rate"
"GS5","5-Year Treasury Rate"
"GS10","10-Year Treasury Rate"
"AAA","Moody s Seasoned Aaa Corporate Bond Yield"
"BAA","Moody s Seasoned Baa Corporate Bond Yield"
"COMPAPFFx","3-Month Commercial Paper Minus FEDFUNDS"
"TB3SMFFM","3-Month Treasury C Minus FEDFUNDS"
"TB6SMFFM","6-Month Treasury C Minus FEDFUNDS"
"T1YFFM","1-Year Treasury C Minus FEDFUNDS"
"T5YFFM","5-Year Treasury C Minus FEDFUNDS"
"T10YFFM","10-Year Treasury C Minus FEDFUNDS"
"AAAFFM","Moody s Aaa Corporate Bond Minus FEDFUNDS"
"BAAFFM","Moody s Baa Corporate Bond Minus FEDFUNDS"
"EXSZUSx","Switzerland / U.S. Foreign Exchange Rate"
"EXJPUSx","Japan / U.S. Foreign Exchange Rate"
"EXUSUKx","U.S. / U.K. Foreign Exchange Rate"
"EXCAUSx","Canada / U.S. Foreign Exchange Rate"
"WPSFD49207","PPI: Finished Goods"
"WPSFD49502","PPI: Finished Consumer Goods"
"WPSID61","PPI: Intermediate Materials"
"WPSID62","PPI: Crude Materials"
"OILPRICEx","Crude Oil, spliced WTI and Cushing"
"PPICMM","PPI: Metals and metal products:"
"CPIAPPSL","CPI : Apparel"
"CPITRNSL","CPI : Transportation"
"CPIMEDSL","CPI : Medical Care"
"CUSR0000SAC","CPI : Commodities"
"CUSR0000SAD","CPI : Durables"
"CUSR0000SAS","CPI : Services"
"CPIULFSL","CPI : All Items Less Food"
"CUSR0000SA0L2","CPI : All items less shelter"
"CUSR0000SA0L5","CPI : All items less medical care"
"PCEPI","Personal Cons. Expend.: Chain Index"
"DDURRG3M086SBEA","Personal Cons. Exp: Durable goods"
"DNDGRG3M086SBEA","Personal Cons. Exp: Nondurable goods"
"DSERRG3M086SBEA","Personal Cons. Exp: Services"
"CES0600000008","Avg Hourly Earnings : Goods-Producing"
"CES2000000008","Avg Hourly Earnings : Construction"
"CES3000000008","Avg Hourly Earnings : Manufacturing"
"DTCOLNVHFNM","Consumer Motor Vehicle Loans Outstanding"
"DTCTHFNM","Total Consumer Loans and Leases Outstanding"
"INVEST","Securities in Bank Credit at All Commercial Banks"
